id,store_url,domain,platform,source
59,https://jain.myshopify.com,jain.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
60,https://ananda.myshopify.com,ananda.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
61,https://citronjaune.myshopify.com,citronjaune.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
62,https://cosmetiques.myshopify.com,cosmetiques.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
63,https://temdetudo.myshopify.com,temdetudo.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
64,https://kkaribu.myshopify.com,kkaribu.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
65,https://redferret.myshopify.com,redferret.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
66,https://commerce.myshopify.com,commerce.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
67,https://justpolos.myshopify.com,justpolos.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
68,https://sharpers.myshopify.com,sharpers.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
69,https://angantyr.myshopify.com,angantyr.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
70,https://physio.myshopify.com,physio.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
71,https://idano.myshopify.com,idano.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
72,https://goldenleafgallery.myshopify.com,goldenleafgallery.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
73,https://lowcarb.myshopify.com,lowcarb.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
74,https://trendwatching.myshopify.com,trendwatching.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
75,https://glidein.myshopify.com,glidein.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
76,https://jimmiejo.myshopify.com,jimmiejo.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
77,https://valuesworld.myshopify.com,valuesworld.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
78,https://matt.myshopify.com,matt.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
79,https://tomtom.myshopify.com,tomtom.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
80,https://pivotalclick.myshopify.com,pivotalclick.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
